행정구역별,2015,2016,2017,2018,2019
행정구역별,당해년 총인구(명),당해년 총인구(명),당해년 총인구(명),당해년 총인구(명),당해년 총인구(명)
세종특별자치시,214365,246793,284225,319066,346275
