"","X","연면적","size"
"166",928,83.7,"중형"
"167",929,72.97,"중형"
"168",930,90.61,"대형"
"169",931,87.15,"대형"
"170",932,61.82,"중형"
"171",933,83.34,"중형"
"172",934,61.16,"중형"
"173",935,189.25,"대형"
"174",936,49.59,"소형"
"175",937,250.65,"대형"
"176",938,473.31,"대형"
"177",939,83.32,"중형"
"178",940,149.28,"대형"
"179",941,83.34,"중형"
"180",942,284,"대형"
"181",943,98.96,"대형"
"182",944,132.97,"대형"
"183",945,84.46,"중형"
"184",946,156.05,"대형"
"185",947,109.37,"대형"
"186",948,109.37,"대형"
"187",949,130.37,"대형"
"188",950,73.49,"중형"
"189",951,64.87,"중형"
"190",952,185.01,"대형"
"191",953,97.45,"대형"
"192",954,97.45,"대형"
"193",955,67.48,"중형"
"194",956,64.61,"중형"
"195",957,76.72,"중형"
"196",958,63.27,"중형"
"197",959,99.16,"대형"
"198",960,99.16,"대형"
"199",961,93.82,"대형"
"200",962,152.88,"대형"
"201",963,70.44,"중형"
"202",964,104.45,"대형"
"203",965,27,"초소형"
"204",966,77.36,"중형"
"205",967,93.24,"대형"
"206",968,59.4,"소형"
"207",969,72.3,"중형"
"208",970,137.27,"대형"
"209",971,126.28,"대형"
"210",972,152.84,"대형"
"211",973,152.94,"대형"
"212",974,152.94,"대형"
"213",975,88.5,"대형"
"214",976,50.6,"소형"
"215",977,59.5,"소형"
"216",978,59.5,"소형"
"217",979,123.96,"대형"
"218",980,124.14,"대형"
"219",981,68.64,"중형"
"220",982,82.64,"중형"
"221",983,61.71,"중형"
"222",984,343.16,"대형"
"223",985,82.65,"중형"
"224",986,481.96,"대형"
"225",987,88.08,"대형"
"226",988,62.7,"중형"
"227",989,37.85,"초소형"
"228",990,52.6,"소형"
"229",991,64.87,"중형"
"230",992,73.2,"중형"
"231",993,167.82,"대형"
"232",994,167.82,"대형"
"233",995,99.87,"대형"
"234",996,99.87,"대형"
"235",997,359.4,"대형"
"236",998,88.7,"대형"
"237",999,54.51,"소형"
"238",1000,22.5,"초소형"
"239",1001,84.7,"중형"
"240",1002,62.62,"중형"
"241",1003,57.36,"소형"
"242",1004,109.9,"대형"
"243",1005,194.52,"대형"
"244",1006,65.18,"중형"
"245",1007,65.72,"중형"
"246",1008,112.18,"대형"
"247",1009,144.76,"대형"
"248",1010,157.05,"대형"
"249",1011,147.77,"대형"
"250",1012,120.33,"대형"
"251",1013,99.43,"대형"
"252",1014,57.19,"소형"
"253",1015,98.66,"대형"
"254",1016,66.1,"중형"
"255",1017,48.93,"소형"
"256",1018,105.8,"대형"
"257",1019,376.29,"대형"
"258",1020,102.98,"대형"
"259",1021,493.86,"대형"
"260",1022,493.86,"대형"
"261",1023,493.86,"대형"
"262",1024,493.86,"대형"
"263",1025,493.86,"대형"
"264",1026,493.86,"대형"
"265",1027,221.91,"대형"
"266",1028,77.19,"중형"
"267",1029,54.51,"소형"
"268",1030,116.85,"대형"
"269",1031,71.64,"중형"
"270",1032,80,"중형"
"271",1033,43.05,"소형"
"272",1034,235.71,"대형"
"273",1035,76,"중형"
"274",1036,481.96,"대형"
"275",1037,481.96,"대형"
"276",1038,138.96,"대형"
"277",1039,201.69,"대형"
"278",1040,201.69,"대형"
"279",1041,98.73,"대형"
"280",1042,212.91,"대형"
"281",1043,67.44,"중형"
"282",1044,79.43,"중형"
"283",1045,82.71,"중형"
"284",1046,80.56,"중형"
"285",1047,171.97,"대형"
"286",1048,84.32,"중형"
"287",1049,142.96,"대형"
"288",1050,108.1,"대형"
"289",1051,378.81,"대형"
"290",1052,83.43,"중형"
"291",1053,72.2,"중형"
"292",1054,141.3,"대형"
"293",1055,66,"중형"
"294",1056,72.09,"중형"
"295",1057,114.37,"대형"
"296",1058,54.78,"소형"
"297",1059,69.91,"중형"
"298",1060,54.22,"소형"
"299",1061,183.13,"대형"
"300",1062,60.79,"중형"
"301",1063,246.25,"대형"
"302",1064,122.91,"대형"
"303",1065,113.9,"대형"
"304",1066,306.56,"대형"
"305",1067,123.96,"대형"
"306",1068,157.05,"대형"
"307",1069,157.05,"대형"
"308",1070,190.6,"대형"
"309",1071,533.76,"대형"
"310",1072,733.17,"대형"
"311",1073,218.18,"대형"
"312",1074,487.67,"대형"
"313",1075,83.16,"중형"
"314",1076,27.44,"초소형"
"315",1077,417.65,"대형"
"316",1078,199.49,"대형"
"317",1079,135.5,"대형"
"318",1080,56.86,"소형"
"319",1081,72.62,"중형"
"320",1082,62.81,"중형"
"321",1083,131.64,"대형"
"322",1084,99.82,"대형"
"323",1085,97.86,"대형"
"324",1086,139.18,"대형"
"325",1087,138.8,"대형"
"326",1088,154.97,"대형"
"327",1089,249.97,"대형"
"328",1090,116.64,"대형"
"329",1091,145.4,"대형"
"330",1092,89.1,"대형"
"331",1093,124.14,"대형"
"332",1094,96.7,"대형"
"333",1095,99.58,"대형"
"334",1096,53.46,"소형"
"335",1097,77.82,"중형"
"336",1098,272.08,"대형"
"337",1099,113.02,"대형"
"338",1100,79.43,"중형"
"339",1101,79.43,"중형"
"340",1102,83.01,"중형"
"341",1103,90,"대형"
"342",1104,72.5,"중형"
"343",1105,160.31,"대형"
"344",1106,97.74,"대형"
"345",1107,79.33,"중형"
"346",1108,49.59,"소형"
"347",1109,99.27,"대형"
"348",1110,481.96,"대형"
"349",1111,187.25,"대형"
"350",1112,32.34,"초소형"
"351",1113,67.5,"중형"
"352",1114,67.45,"중형"
"353",1115,113.19,"대형"
"354",1116,93,"대형"
"355",1117,105.78,"대형"
"356",1118,429.99,"대형"
"357",1119,53.46,"소형"
"358",1120,36.36,"초소형"
"359",1121,177.84,"대형"
"360",1122,199.78,"대형"
"361",1123,189.12,"대형"
"362",1124,196.4,"대형"
"363",1125,500.25,"대형"
"364",1126,140.13,"대형"
"365",1127,104.98,"대형"
"366",1128,104.98,"대형"
"367",1129,55.32,"소형"
"368",1130,45.95,"소형"
"369",1131,66.06,"중형"
"370",1132,75.2,"중형"
"371",1133,84.24,"중형"
"372",1134,50.96,"소형"
"373",1135,76.08,"중형"
"374",1136,180.13,"대형"
"375",1137,117.79,"대형"
"376",1138,121.63,"대형"
"377",1139,191.34,"대형"
"378",1140,235.71,"대형"
"379",1141,129.96,"대형"
"380",1142,205.05,"대형"
"381",1143,120.69,"대형"
