"","X","연면적","size"
"1",763,85.43,"대형"
"2",764,186.93,"대형"
"3",765,80.22,"중형"
"4",766,375.64,"대형"
"5",767,89.31,"대형"
"6",768,615.85,"대형"
"7",769,154.49,"대형"
"8",770,84.13,"중형"
"9",771,570.42,"대형"
"10",772,494.15,"대형"
"11",773,130,"대형"
"12",774,156.85,"대형"
"13",775,53.48,"소형"
"14",776,613.92,"대형"
"15",777,142.28,"대형"
"16",778,65.9,"중형"
"17",779,90.09,"대형"
"18",780,73.7,"중형"
"19",781,330.6,"대형"
"20",782,131.79,"대형"
"21",783,29.75,"초소형"
"22",784,223.14,"대형"
"23",785,131.79,"대형"
"24",786,297.9,"대형"
"25",787,123.5,"대형"
"26",788,131.05,"대형"
"27",789,92,"대형"
"28",790,99.18,"대형"
"29",791,85.91,"대형"
"30",792,126.63,"대형"
"31",793,184.63,"대형"
"32",794,138.65,"대형"
"33",795,91.62,"대형"
"34",796,54.36,"소형"
"35",797,132.81,"대형"
"36",798,175.75,"대형"
"37",799,175.75,"대형"
"38",800,175.75,"대형"
"39",801,127.63,"대형"
"40",802,107.46,"대형"
"41",803,67.5,"중형"
"42",804,82.47,"중형"
"43",805,82.47,"중형"
"44",806,49.25,"소형"
"45",807,198.82,"대형"
"46",808,58.59,"소형"
"47",809,46,"소형"
"48",810,58.77,"소형"
"49",811,70.41,"중형"
"50",812,50.49,"소형"
"51",813,47.19,"소형"
"52",814,594.22,"대형"
"53",815,594.22,"대형"
"54",816,251.98,"대형"
"55",817,230.74,"대형"
"56",818,140.97,"대형"
"57",819,37.67,"초소형"
"58",820,33,"초소형"
"59",821,35.4,"초소형"
"60",822,154.31,"대형"
"61",823,30.36,"초소형"
"62",824,178.18,"대형"
"63",825,101.31,"대형"
"64",826,185.92,"대형"
"65",827,185.92,"대형"
"66",828,71.5,"중형"
"67",829,389.02,"대형"
"68",830,93.99,"대형"
"69",831,99.12,"대형"
"70",832,125.06,"대형"
"71",833,71.1,"중형"
"72",834,90,"대형"
"73",835,61.72,"중형"
"74",836,236.88,"대형"
"75",837,51.17,"소형"
"76",838,50,"소형"
"77",839,70.18,"중형"
"78",840,91.63,"대형"
"79",841,174.24,"대형"
"80",842,75.36,"중형"
"81",843,119.8,"대형"
"82",844,73.72,"중형"
"83",845,69,"중형"
"84",846,99.09,"대형"
"85",847,97.44,"대형"
"86",848,146.85,"대형"
"87",849,84.7,"중형"
"88",850,114.03,"대형"
"89",851,76.68,"중형"
"90",852,157.05,"대형"
"91",853,68.1,"중형"
"92",854,68.43,"중형"
"93",855,154.96,"대형"
"94",856,122.76,"대형"
"95",857,48.8,"소형"
"96",858,74.5,"중형"
"97",859,243.24,"대형"
"98",860,65.01,"중형"
"99",861,144.5,"대형"
"100",862,95.87,"대형"
"101",863,68.04,"중형"
"102",864,126,"대형"
"103",865,110.25,"대형"
"104",866,81.88,"중형"
"105",867,92,"대형"
"106",868,630,"대형"
"107",869,63.6,"중형"
"108",870,39.67,"초소형"
"109",871,73.72,"중형"
"110",872,58.86,"소형"
"111",873,151.06,"대형"
"112",874,60.44,"중형"
"113",875,179.34,"대형"
"114",876,74.16,"중형"
"115",877,135.38,"대형"
"116",878,89.82,"대형"
"117",879,109.85,"대형"
"118",880,185.76,"대형"
"119",881,182.95,"대형"
"120",882,91.54,"대형"
"121",883,36.69,"초소형"
"122",884,59.6,"소형"
"123",885,33.06,"초소형"
"124",886,117.3,"대형"
"125",887,339.86,"대형"
"126",888,201.06,"대형"
"127",889,146.15,"대형"
"128",890,64,"중형"
"129",891,74.38,"중형"
"130",892,117.05,"대형"
"131",893,360.49,"대형"
"132",894,360.49,"대형"
"133",895,252.91,"대형"
"134",896,609.08,"대형"
"135",897,146.1,"대형"
"136",898,133.96,"대형"
"137",899,99.58,"대형"
"138",900,72.4,"중형"
"139",901,257.94,"대형"
"140",902,257.94,"대형"
"141",903,82.5,"중형"
"142",904,615.38,"대형"
"143",905,615.38,"대형"
"144",906,79.43,"중형"
"145",907,160.66,"대형"
"146",908,54,"소형"
"147",909,200.05,"대형"
"148",910,381.62,"대형"
"149",911,160.3,"대형"
"150",912,150.73,"대형"
"151",913,63.9,"중형"
"152",914,650.39,"대형"
"153",915,51,"소형"
"154",916,36.36,"초소형"
"155",917,494.31,"대형"
"156",918,49.47,"소형"
"157",919,176.81,"대형"
"158",920,68.76,"중형"
"159",921,112.86,"대형"
"160",922,69.6,"중형"
"161",923,69.9,"중형"
"162",924,69.9,"중형"
"163",925,435,"대형"
"164",926,139.81,"대형"
"165",927,32.4,"초소형"
