"","X","전용면적","size"
"1",362,48.41,"소형"
"2",363,44.2708,"소형"
"3",364,45.4108,"소형"
"4",365,36.7038,"초소형"
"5",366,83.2,"중형"
"6",367,16.6229,"초소형"
"7",368,67.9,"중형"
"8",369,53.16,"소형"
"9",370,45.4108,"소형"
"10",371,83.69,"중형"
"11",372,83.69,"중형"
"12",373,51.21,"소형"
"13",374,74.92,"중형"
"14",375,83.69,"중형"
"15",376,83.69,"중형"
"16",377,26.5949,"초소형"
"17",378,57.51,"소형"
"18",379,36.7038,"초소형"
"19",380,35.7788,"초소형"
"20",381,21.422,"초소형"
"21",382,21.6349,"초소형"
"22",383,83.89,"중형"
"23",384,21.6349,"초소형"
"24",385,21.6349,"초소형"
"25",386,48.3,"소형"
"26",387,67.9,"중형"
"27",388,48.6,"소형"
"28",389,26.19,"초소형"
"29",390,26.19,"초소형"
"30",391,26.19,"초소형"
"31",392,26.19,"초소형"
"32",393,48.53,"소형"
"33",394,62.08,"중형"
"34",395,39.0456,"초소형"
"35",396,57.51,"소형"
"36",397,60.8,"중형"
"37",398,67.9,"중형"
"38",399,67.9,"중형"
"39",400,26.5949,"초소형"
"40",401,67.9,"중형"
"41",402,48.57,"소형"
"42",403,50.73,"소형"
"43",404,50.49,"소형"
"44",405,59.4,"소형"
"45",406,21.6,"초소형"
"46",407,21.6,"초소형"
"47",408,21.6,"초소형"
"48",409,21.6,"초소형"
"49",410,21.6,"초소형"
"50",411,54,"소형"
"51",412,54,"소형"
"52",413,21.6,"초소형"
"53",414,21.6,"초소형"
"54",415,21.6,"초소형"
"55",416,21.6,"초소형"
"56",417,21.6,"초소형"
"57",418,21.6,"초소형"
"58",419,21.6,"초소형"
"59",420,21.6,"초소형"
"60",421,21.6,"초소형"
"61",422,21.6,"초소형"
"62",423,27,"초소형"
"63",424,57.51,"소형"
"64",425,27.4429,"초소형"
"65",426,58.77,"소형"
"66",427,55.29,"소형"
"67",428,48.41,"소형"
"68",429,48.41,"소형"
"69",430,50.49,"소형"
"70",431,44.2708,"소형"
"71",432,35.7788,"초소형"
"72",433,70.86,"중형"
"73",434,70.2,"중형"
"74",435,22.42,"초소형"
"75",436,48.41,"소형"
"76",437,51.21,"소형"
"77",438,51.37,"소형"
"78",439,54.28,"소형"
"79",440,50.32,"소형"
"80",441,59.93,"소형"
"81",442,70.83,"중형"
"82",443,83.69,"중형"
"83",444,26.0141,"초소형"
"84",445,55.634,"소형"
"85",446,16.6229,"초소형"
"86",447,21.6349,"초소형"
