"","X","전용면적","size"
"1",13987,84.9687,"중형"
"2",13988,99.985,"대형"
"3",13989,84.969,"중형"
"4",13990,84.945,"중형"
"5",13991,121.852,"대형"
"6",13992,75.9,"중형"
"7",13993,99.9576,"대형"
"8",13994,84.9424,"중형"
"9",13995,74.98,"중형"
"10",13996,74.98,"중형"
"11",13997,59.89,"소형"
"12",13998,84.7,"중형"
"13",13999,59.9897,"소형"
"14",14000,96.1416,"대형"
"15",14001,84.9893,"중형"
"16",14002,59.9013,"소형"
"17",14003,84.98,"중형"
"18",14004,59.8817,"소형"
"19",14005,59.8817,"소형"
"20",14006,84.9687,"중형"
"21",14007,75.5531,"중형"
"22",14008,84.99,"중형"
"23",14009,84.857,"중형"
"24",14010,84.916,"중형"
"25",14011,84.941,"중형"
"26",14012,84.941,"중형"
"27",14013,84.941,"중형"
"28",14014,94.97,"대형"
"29",14015,64.68,"중형"
"30",14016,84.97,"중형"
"31",14017,72.59,"중형"
"32",14018,59.9602,"소형"
"33",14019,100.5454,"대형"
"34",14020,84.9779,"중형"
"35",14021,84.9816,"중형"
"36",14022,71.484,"중형"
"37",14023,84.95,"중형"
"38",14024,84.7,"중형"
"39",14025,59.9907,"소형"
"40",14026,59.9907,"소형"
"41",14027,84.6583,"중형"
"42",14028,59.9058,"소형"
"43",14029,74.77,"중형"
"44",14030,84.986,"중형"
"45",14031,75.5531,"중형"
"46",14032,84.9837,"중형"
"47",14033,84.9916,"중형"
"48",14034,84.969,"중형"
"49",14035,84.96,"중형"
"50",14036,59.9,"소형"
"51",14037,59.9883,"소형"
"52",14038,59.9562,"소형"
"53",14039,98.1866,"대형"
"54",14040,100.9214,"대형"
"55",14041,59.9602,"소형"
"56",14042,97.994,"대형"
"57",14043,101.9478,"대형"
"58",14044,84.9837,"중형"
"59",14045,59.9789,"소형"
"60",14046,71.484,"중형"
"61",14047,84.757,"중형"
"62",14048,99.9576,"대형"
"63",14049,84.9899,"중형"
"64",14050,59.999,"소형"
"65",14051,59.999,"소형"
"66",14052,59.9383,"소형"
"67",14053,84.9911,"중형"
"68",14054,59.9349,"소형"
"69",14055,59.9349,"소형"
"70",14056,59.9349,"소형"
"71",14057,84.696,"중형"
"72",14058,108.81,"대형"
"73",14059,74.98,"중형"
"74",14060,84.99,"중형"
"75",14061,119.86,"대형"
"76",14062,101.7,"대형"
"77",14063,114.19,"대형"
"78",14064,59.8338,"소형"
"79",14065,84.9837,"중형"
"80",14066,99.9434,"대형"
"81",14067,84.9757,"중형"
"82",14068,84.9968,"중형"
"83",14069,84.9491,"중형"
"84",14070,84.9491,"중형"
"85",14071,59.9349,"소형"
"86",14072,59.9058,"소형"
"87",14073,74.77,"중형"
"88",14074,74.77,"중형"
"89",14075,84.89,"중형"
"90",14076,84.98,"중형"
"91",14077,84.986,"중형"
"92",14078,79.5988,"중형"
"93",14079,43.008,"소형"
"94",14080,59.99,"소형"
"95",14081,59.978,"소형"
"96",14082,84.757,"중형"
"97",14083,84.757,"중형"
"98",14084,84.9783,"중형"
"99",14085,84.945,"중형"
"100",14086,84.96,"중형"
"101",14087,45.98,"소형"
"102",14088,59.97,"소형"
"103",14089,59.9853,"소형"
"104",14090,84.916,"중형"
"105",14091,84.841,"중형"
"106",14092,84.89,"중형"
"107",14093,94.97,"대형"
"108",14094,98.0608,"대형"
"109",14095,84.9735,"중형"
"110",14096,98.6414,"대형"
"111",14097,59.9602,"소형"
"112",14098,59.9602,"소형"
"113",14099,101.9653,"대형"
"114",14100,125.1257,"대형"
"115",14101,59.4544,"소형"
"116",14102,84.6347,"중형"
"117",14103,59.5,"소형"
"118",14104,59.92,"소형"
"119",14105,84.9375,"중형"
"120",14106,84.9539,"중형"
"121",14107,74.5191,"중형"
"122",14108,101.9478,"대형"
"123",14109,71.484,"중형"
"124",14110,59.9789,"소형"
"125",14111,84.9039,"중형"
"126",14112,96.1416,"대형"
"127",14113,96.1416,"대형"
"128",14114,84.9968,"중형"
"129",14115,96.1416,"대형"
"130",14116,84.757,"중형"
"131",14117,84.757,"중형"
"132",14118,99.9834,"대형"
"133",14119,99.9576,"대형"
"134",14120,83.256,"중형"
"135",14121,83.256,"중형"
"136",14122,84.99,"중형"
"137",14123,59.999,"소형"
"138",14124,84.9424,"중형"
"139",14125,59.9383,"소형"
"140",14126,59.614,"소형"
"141",14127,59.9349,"소형"
"142",14128,108.81,"대형"
"143",14129,84.696,"중형"
"144",14130,84.696,"중형"
"145",14131,84.94,"중형"
"146",14132,67.962,"중형"
"147",14133,67.962,"중형"
"148",14134,114.03,"대형"
"149",14135,84.9895,"중형"
"150",14136,84.9894,"중형"
"151",14137,59.9013,"소형"
"152",14138,84.975,"중형"
"153",14139,84.9687,"중형"
"154",14140,75.5847,"중형"
"155",14141,74.998,"중형"
"156",14142,100.5454,"대형"
"157",14143,84.9645,"중형"
"158",14144,84.9539,"중형"
"159",14145,84.9539,"중형"
"160",14146,84.8568,"중형"
"161",14147,84.9816,"중형"
"162",14148,84.9968,"중형"
"163",14149,74.519,"중형"
"164",14150,74.519,"중형"
"165",14151,84.99,"중형"
"166",14152,59.99,"소형"
"167",14153,128.9491,"대형"
"168",14154,108.3993,"대형"
"169",14155,84.696,"중형"
"170",14156,108.81,"대형"
"171",14157,84.95,"중형"
"172",14158,74.98,"중형"
"173",14159,84.99,"중형"
"174",14160,101.7,"대형"
"175",14161,59.1,"소형"
"176",14162,59.1,"소형"
"177",14163,114.61,"대형"
"178",14164,59.9907,"소형"
"179",14165,84.8788,"중형"
"180",14166,84.6583,"중형"
"181",14167,84.8974,"중형"
"182",14168,59.9058,"소형"
"183",14169,74.77,"중형"
"184",14170,84.98,"중형"
"185",14171,59.9853,"소형"
"186",14172,111.996,"대형"
"187",14173,84.757,"중형"
"188",14174,59.97,"소형"
"189",14175,94.96,"대형"
"190",14176,109.5334,"대형"
"191",14177,59.9604,"소형"
"192",14178,59.9602,"소형"
"193",14179,84.9989,"중형"
"194",14180,84.6347,"중형"
"195",14181,59.4544,"소형"
"196",14182,59.7,"소형"
