,연면적(㎡)
0,67.32
1,581.25
2,63.89
3,95.76
4,375.36
5,493.21
6,99.96
7,307.24
8,56.2
9,659.57
10,45.99
11,164.39
12,39.18
13,100.0
14,77.95
15,433.84
16,151.96
17,38.99
18,59.5
19,359.56
20,327.78
21,96.32
22,144.81
23,192.46
24,147.57
25,87.0
26,328.29
27,23.76
28,102.06
29,326.19
30,63.14
31,329.73
32,69.42
33,81.5
34,429.42
35,95.54
36,71.55
37,104.6
38,328.94
39,366.15
40,47.6
41,135.5
42,636.82
43,481.96
44,41.31
45,83.37
46,71.1
47,65.29
48,547.5
49,114.89
50,147.31
51,354.51
52,23.04
53,68.02
54,592.0
55,99.98
56,501.76
57,375.64
58,184.39
59,143.16
60,434.72
61,70.95
62,631.37
63,85.54
64,381.92
65,603.72
66,73.71
67,98.14
68,61.16
69,98.3
70,51.5
71,42.98
72,487.33
73,37.16
74,95.92
75,153.54
76,49.5
77,113.28
78,78.3
79,53.22
80,66.0
81,71.5
82,65.54
83,62.81
84,118.63
85,140.32
86,171.78
87,53.52
88,82.57
89,101.34
90,88.69
91,37.13
92,102.39
93,86.22
94,70.39
95,68.43
96,89.89
97,997.75
98,49.56
99,67.74
100,315.34
101,96.86
102,388.42
103,150.6
104,137.54
105,71.31
106,128.0
107,46.8
108,59.93
109,139.0
110,472.73
111,49.68
112,53.46
113,500.37
114,84.15
115,242.79
116,104.58
117,192.46
118,617.83
119,96.21
120,487.0
121,55.11
122,510.73
123,531.43
124,708.86
125,173.96
126,472.73
127,330.1
128,621.97
129,42.57
130,131.93
131,66.0
132,198.73
133,56.2
134,107.46
135,282.75
136,80.28
137,84.96
138,493.86
139,139.76
140,76.03
141,121.63
142,85.95
143,78.66
144,138.22
145,62.62
146,198.36
147,169.95
148,49.0
149,432.5
150,227.76
151,59.5
152,76.14
153,146.1
154,64.48
155,109.08
156,146.85
157,23.76
158,73.75
159,278.49
160,565.01
161,485.95
162,95.04
163,80.17
164,185.79
165,88.2
166,487.65
167,175.12
168,649.72
169,113.7
170,80.46
171,475.2
172,71.38
173,582.88
174,439.44
175,657.51
176,894.58
177,97.44
178,153.34
179,437.73
180,78.3
181,108.8
182,658.91
183,415.18
184,93.65
185,81.85
186,228.14
187,481.96
188,49.59
189,118.39
190,85.61
191,544.78
192,74.4
193,69.42
194,47.64
195,122.39
196,137.51
197,69.94
198,370.51
199,150.51
200,676.7
201,428.33
202,76.18
203,567.64
204,90.46
205,399.54
206,363.79
207,142.1
208,516.8
209,51.9
210,98.3
211,265.05
212,329.22
213,272.08
214,645.73
215,382.14
216,109.85
217,161.16
218,51.0
219,410.45
220,79.28
221,74.05
222,235.44
223,69.0
224,137.0
225,59.5
226,67.0
227,659.01
228,305.57
229,270.7
230,65.75
231,145.4
232,336.03
233,82.43
234,614.81
235,70.2
236,68.76
237,250.67
238,99.09
239,117.17
240,340.89
241,542.01
242,82.5
243,146.06
244,376.29
245,102.23
246,289.53
247,51.27
248,84.24
249,563.08
250,57.41
251,79.01
252,67.05
253,120.41
254,658.62
255,51.51
256,335.5
257,142.48
258,550.31
259,568.03
260,359.58
261,312.0
262,40.5
263,483.36
264,53.76
265,67.5
266,32.34
267,545.47
268,407.65
269,707.94
270,61.82
271,375.11
272,481.96
273,56.2
274,683.19
275,67.49
276,59.5
277,271.62
278,88.45
279,64.87
280,43.9
281,486.0
282,595.04
283,491.82
284,516.82
285,62.7
286,70.52
287,570.51
288,73.92
289,127.41
290,94.06
291,495.96
292,610.78
293,54.03
294,110.2
295,342.29
296,545.72
297,404.26
298,76.03
299,90.13
300,99.09
301,51.23
302,114.28
303,493.56
304,471.06
305,80.85
306,99.18
307,92.56
308,522.13
309,67.9
