"","X","전용면적","size"
"1",0,62.08,"중형"
"2",1,64.23,"중형"
"3",2,53.965,"소형"
"4",3,48.53,"소형"
"5",4,67.9,"중형"
"6",5,48.41,"소형"
"7",6,63.33,"중형"
"8",7,27.74,"초소형"
"9",8,50.49,"소형"
"10",9,59.77,"소형"
"11",10,70.83,"중형"
"12",11,58.77,"소형"
"13",12,56.55,"소형"
"14",13,56.46,"소형"
"15",14,56.46,"소형"
"16",15,22.42,"초소형"
"17",16,48.69,"소형"
"18",17,55.32,"소형"
"19",18,79.39,"중형"
"20",19,61.26,"중형"
"21",20,57.51,"소형"
"22",21,57.51,"소형"
"23",22,64.82,"중형"
"24",23,68.09,"중형"
"25",24,76.5,"중형"
"26",25,72.57,"중형"
"27",26,55.35,"소형"
"28",27,72.36,"중형"
"29",28,59.93,"소형"
"30",29,67.9,"중형"
"31",30,56.46,"소형"
"32",31,58.86,"소형"
"33",32,72.36,"중형"
"34",33,67.9,"중형"
"35",34,56.46,"소형"
"36",35,53.16,"소형"
"37",36,27.74,"초소형"
"38",37,27.74,"초소형"
"39",38,53.965,"소형"
"40",39,83.2,"중형"
"41",40,67.9,"중형"
"42",41,20.0687,"초소형"
"43",42,20.717,"초소형"
"44",43,15.881,"초소형"
"45",44,15.881,"초소형"
"46",45,15.881,"초소형"
"47",46,15.8259,"초소형"
"48",47,21.2244,"초소형"
"49",48,22.589,"초소형"
"50",49,19.157,"초소형"
"51",50,22.589,"초소형"
"52",51,22.0257,"초소형"
"53",52,16.661,"초소형"
"54",53,16.661,"초소형"
"55",54,16.661,"초소형"
"56",55,16.661,"초소형"
"57",56,15.725,"초소형"
"58",57,16.661,"초소형"
"59",58,16.661,"초소형"
"60",59,23.9406,"초소형"
"61",60,20.343,"초소형"
"62",61,16.661,"초소형"
"63",62,24.2841,"초소형"
"64",63,16.661,"초소형"
"65",64,22.8217,"초소형"
"66",65,16.661,"초소형"
"67",66,16.661,"초소형"
"68",67,20.0687,"초소형"
"69",68,16.661,"초소형"
"70",69,20.2003,"초소형"
"71",70,15.881,"초소형"
"72",71,20.717,"초소형"
"73",72,22.589,"초소형"
"74",73,20.0687,"초소형"
"75",74,20.0687,"초소형"
"76",75,15.881,"초소형"
"77",76,15.881,"초소형"
