"","X","연면적","size"
"230",229,270.7,"대형"
"231",230,65.75,"중형"
"232",231,145.4,"대형"
"233",232,336.03,"대형"
"234",233,82.43,"중형"
"235",234,614.81,"대형"
"236",235,70.2,"중형"
"237",236,68.76,"중형"
"238",237,250.67,"대형"
"239",238,99.09,"대형"
"240",239,117.17,"대형"
"241",240,340.89,"대형"
"242",241,542.01,"대형"
"243",242,82.5,"중형"
"244",243,146.06,"대형"
"245",244,376.29,"대형"
"246",245,102.23,"대형"
"247",246,289.53,"대형"
"248",247,51.27,"소형"
"249",248,84.24,"중형"
"250",249,563.08,"대형"
"251",250,57.41,"소형"
"252",251,79.01,"중형"
"253",252,67.05,"중형"
"254",253,120.41,"대형"
"255",254,658.62,"대형"
"256",255,51.51,"소형"
"257",256,335.5,"대형"
"258",257,142.48,"대형"
"259",258,550.31,"대형"
"260",259,568.03,"대형"
"261",260,359.58,"대형"
"262",261,312,"대형"
"263",262,40.5,"소형"
"264",263,483.36,"대형"
"265",264,53.76,"소형"
"266",265,67.5,"중형"
"267",266,32.34,"초소형"
"268",267,545.47,"대형"
"269",268,407.65,"대형"
"270",269,707.94,"대형"
"271",270,61.82,"중형"
"272",271,375.11,"대형"
"273",272,481.96,"대형"
"274",273,56.2,"소형"
"275",274,683.19,"대형"
"276",275,67.49,"중형"
"277",276,59.5,"소형"
"278",277,271.62,"대형"
"279",278,88.45,"대형"
"280",279,64.87,"중형"
"281",280,43.9,"소형"
"282",281,486,"대형"
"283",282,595.04,"대형"
"284",283,491.82,"대형"
"285",284,516.82,"대형"
"286",285,62.7,"중형"
"287",286,70.52,"중형"
"288",287,570.51,"대형"
"289",288,73.92,"중형"
"290",289,127.41,"대형"
"291",290,94.06,"대형"
"292",291,495.96,"대형"
"293",292,610.78,"대형"
"294",293,54.03,"소형"
"295",294,110.2,"대형"
"296",295,342.29,"대형"
"297",296,545.72,"대형"
"298",297,404.26,"대형"
"299",298,76.03,"중형"
"300",299,90.13,"대형"
"301",300,99.09,"대형"
"302",301,51.23,"소형"
"303",302,114.28,"대형"
"304",303,493.56,"대형"
"305",304,471.06,"대형"
"306",305,80.85,"중형"
"307",306,99.18,"대형"
"308",307,92.56,"대형"
"309",308,522.13,"대형"
"310",309,67.9,"중형"
