,전용면적(㎡)
362,48.41
363,44.2708
364,45.4108
365,36.7038
366,83.2
367,16.6229
368,67.9
369,53.16
370,45.4108
371,83.69
372,83.69
373,51.21
374,74.92
375,83.69
376,83.69
377,26.5949
378,57.51
379,36.7038
380,35.7788
381,21.421999999999997
382,21.6349
383,83.89
384,21.6349
385,21.6349
386,48.3
387,67.9
388,48.6
389,26.19
390,26.19
391,26.19
392,26.19
393,48.53
394,62.08
395,39.0456
396,57.51
397,60.8
398,67.9
399,67.9
400,26.5949
401,67.9
402,48.57
403,50.73
404,50.49
405,59.4
406,21.6
407,21.6
408,21.6
409,21.6
410,21.6
411,54.0
412,54.0
413,21.6
414,21.6
415,21.6
416,21.6
417,21.6
418,21.6
419,21.6
420,21.6
421,21.6
422,21.6
423,27.0
424,57.51
425,27.4429
426,58.77
427,55.29
428,48.41
429,48.41
430,50.49
431,44.2708
432,35.7788
433,70.86
434,70.2
435,22.42
436,48.41
437,51.21
438,51.37
439,54.28
440,50.32
441,59.93
442,70.83
443,83.69
444,26.0141
445,55.63399999999999
446,16.6229
447,21.6349
448,51.12
449,55.35
450,25.3352
451,23.9406
452,20.717
453,22.589000000000002
454,22.589000000000002
455,15.880999999999998
456,15.880999999999998
457,20.717
458,24.2841
459,22.0257
460,16.660999999999998
461,22.589000000000002
462,20.0687
463,21.5014
464,15.880999999999998
465,15.880999999999998
466,27.2216
467,18.8283
468,18.8283
469,15.8259
470,20.343
471,15.725
472,16.660999999999998
473,21.2244
474,19.157
475,16.660999999999998
476,16.660999999999998
477,16.660999999999998
478,16.660999999999998
479,16.660999999999998
480,16.660999999999998
481,16.660999999999998
482,22.8217
483,15.880999999999998
484,33.9845
485,20.0687
486,15.880999999999998
487,22.589000000000002
488,22.589000000000002
489,16.660999999999998
490,16.660999999999998
491,20.2003
492,20.0687
493,15.880999999999998
494,15.880999999999998
495,18.8283
496,23.0857
497,22.8217
498,30.085
499,16.660999999999998
500,17.3137
501,16.85
502,20.2003
503,22.589000000000002
504,20.0687
505,59.2
506,55.35
507,45.4108
508,36.66
509,44.93
510,45.4108
511,44.2708
512,45.4108
513,51.21
514,23.8329
515,45.4108
516,48.6
517,30.735
518,59.49
519,26.875999999999998
520,79.39
521,22.686
522,26.5949
523,67.9
524,54.09
525,43.92
526,56.65
527,55.35
528,66.96
529,50.42
530,56.61
531,64.82
532,55.35
533,76.32
534,50.49
535,40.95
536,36.66
537,35.7788
538,27.6012
539,45.4108
540,48.96
541,56.07
542,49.21
543,48.6
544,55.35
545,48.3
546,70.42
547,53.34
548,53.965
549,76.32
550,44.2708
551,57.51
552,68.09
553,76.44
554,76.32
555,22.42
556,72.57
557,50.14
558,70.42
559,70.83
560,21.6349
561,48.6
562,54.342
563,72.87
564,57.51
565,57.51
566,57.51
567,70.42
568,67.9
569,63.175
570,21.6349
571,21.6349
572,41.13
573,51.21
574,57.51
575,67.9
576,57.51
577,70.42
578,54.342
579,21.6349
580,15.3613
581,67.9
582,54.09
583,55.35
584,57.51
585,55.35
586,21.6349
587,67.9
588,63.47
589,51.21
590,64.82
591,49.21
592,61.44
593,44.2708
594,65.2
595,51.21
596,51.37
597,21.6349
598,40.95
599,38.77
600,65.4
601,21.6349
602,21.9063
603,26.5949
604,48.53
605,48.96
606,67.9
607,26.2699
608,52.181999999999995
609,56.61
610,26.5949
611,76.26
612,30.735
613,16.9849
614,26.5949
615,24.52
616,21.6349
617,21.6349
618,54.09
619,64.82
620,55.29
