,전용면적(㎡)
131,21.92
132,24.22
133,24.03
134,24.03
135,83.01
136,21.92
137,27.43
138,21.92
139,23.24
140,26.34
141,34.15
142,23.74
143,21.92
144,22.42
145,21.92
146,21.92
147,23.74
148,36.58
149,32.19
150,22.42
151,23.74
152,24.03
153,24.32
154,22.42
155,23.24
156,24.01
157,24.01
158,23.74
159,27.43
160,22.42
161,25.39
162,43.71
163,30.24
164,22.42
165,23.74
166,23.74
167,23.74
168,22.42
169,23.74
170,21.92
171,21.92
172,29.06
173,23.74
174,24.03
175,21.92
176,24.22
177,23.74
178,22.42
179,22.42
180,21.92
181,23.24
182,44.84
183,23.74
184,29.06
185,28.65
186,23.74
187,22.42
188,23.74
189,23.74
190,22.42
191,24.01
192,24.01
193,24.03
194,22.42
195,23.74
196,22.42
197,56.07
198,27.09
199,23.24
200,34.15
201,24.62
202,28.65
203,23.24
204,21.92
205,24.01
206,22.42
207,23.74
208,21.92
209,24.5
210,23.74
211,24.03
212,21.92
213,21.92
214,21.92
215,23.74
216,28.65
217,24.03
218,23.24
219,24.62
220,24.03
221,21.92
222,21.92
223,23.24
224,23.24
225,24.03
226,21.92
227,34.15
228,34.15
229,23.24
230,21.92
231,21.92
232,22.42
233,28.65
234,23.24
235,24.5
236,23.74
237,21.92
238,28.65
239,23.74
240,22.42
241,24.22
242,24.5
243,37.9
244,30.48
245,27.43
246,44.84
247,39.11
248,22.42
249,22.42
250,21.92
251,22.42
252,22.42
253,23.74
254,22.42
255,31.17
256,23.24
257,23.24
258,34.15
259,34.15
260,34.15
261,34.15
262,22.42
263,22.42
264,30.24
265,23.74
266,24.5
267,28.65
268,36.58
269,21.92
270,23.74
271,22.42
272,37.9
273,23.74
274,23.74
275,23.24
276,23.74
277,39.11
278,23.24
279,24.22
280,22.22
281,23.57
282,27.09
283,23.74
284,23.74
285,24.22
286,21.92
287,23.74
288,23.74
289,23.24
290,21.92
291,21.92
292,21.92
293,23.24
294,28.72
295,21.92
296,23.24
297,23.57
298,21.92
299,21.92
300,21.92
301,23.74
302,22.42
303,26.34
304,23.74
305,22.42
306,22.42
307,23.74
308,24.32
309,23.57
310,21.92
311,24.12
312,23.24
313,44.84
314,23.74
315,43.71
316,22.42
317,23.74
318,22.42
319,23.24
320,21.92
321,23.74
322,22.42
323,23.74
324,23.24
325,24.22
326,24.01
327,23.24
328,23.24
329,23.74
330,23.74
331,23.74
332,23.24
333,23.24
334,22.42
335,34.15
336,23.24
337,26.18
338,27.43
339,23.24
340,26.18
341,24.22
342,26.18
343,30.48
344,44.84
