,전용면적(㎡)
0,16.9849
1,59.8652
2,84.9894
3,84.98
4,84.928
5,17.425
6,59.858000000000004
7,84.7067
8,84.9228
9,128.9491
10,84.6682
11,59.83
12,59.9383
13,101.9478
14,99.6514
15,84.9228
16,118.198
17,130.2173
18,101.46
19,49.29
20,59.9383
21,59.9973
22,59.9973
23,99.986
24,99.9834
25,84.757
26,41.328
27,28.2616
28,59.76
29,59.76
30,84.6641
31,84.96
32,72.497
33,35.193000000000005
34,84.85700000000001
35,84.85700000000001
36,84.914
37,84.8568
38,99.6514
39,84.6641
40,84.6641
41,84.994
42,84.9941
43,17.834
44,83.256
45,84.9424
46,59.9159
47,99.9434
48,49.77
49,59.4
50,74.5191
51,74.5191
52,110.59
53,49.277
54,84.98
55,84.99
56,84.9941
57,84.9424
58,59.9383
59,84.757
60,59.82
61,84.9779
62,31.758000000000003
63,28.2616
64,28.2616
65,28.2616
66,28.2616
67,28.2616
68,39.69
69,84.62
70,74.77
71,84.96
72,110.59
73,17.834
74,84.97399999999999
75,84.96
76,74.77
77,84.85700000000001
78,84.6641
79,84.6682
80,59.9383
81,84.18
82,84.96700000000001
83,84.8809
84,59.9853
85,118.198
86,59.76
87,84.8375
88,84.6641
89,84.994
90,84.9941
91,84.9365
92,84.9893
93,102.63
94,84.11
95,84.8788
96,74.77
97,59.8676
98,43.008
99,84.9899
100,28.168000000000003
101,84.976
102,84.976
103,59.998999999999995
104,84.815
105,59.9316
106,59.614
107,59.614
108,59.9383
109,84.986
110,39.97
111,99.6514
112,84.9228
113,84.991
114,84.9941
115,59.9383
116,84.81
117,102.84
118,59.8652
119,84.8809
120,43.008
121,24.385
122,49.77
123,59.858000000000004
124,84.7067
125,125.7081
126,84.97399999999999
127,84.9911
128,107.698
129,59.9973
130,84.85700000000001
131,19.3525
132,59.7
133,125.7081
134,59.99
135,59.76
136,84.815
137,84.91
138,84.08
139,59.1
140,114.61
141,28.006999999999998
142,19.1676
143,84.757
144,59.9789
145,39.69
146,84.97399999999999
147,84.6641
148,59.9383
149,84.91
150,84.62
151,59.655
152,45.15
153,96.25200000000001
154,59.9853
155,84.757
156,95.804
157,84.916
158,84.9779
159,96.1416
160,83.256
161,49.29
162,59.76
163,59.9383
164,119.77
165,84.9893
166,59.8652
167,43.008
168,59.9853
169,97.994
170,84.928
171,65.78
172,59.64
173,39.97
174,39.97
175,84.84
176,84.6641
177,84.9915
178,59.9383
179,84.7
180,41.328
181,39.69
182,84.976
183,151.659
184,84.7
185,84.62
186,84.08
187,59.994
188,26.984
189,26.984
190,84.9539
191,84.9539
192,84.757
193,41.328
194,103.2294
195,84.9228
196,59.998999999999995
197,119.59
198,23.2849
199,18.0325
200,19.3525
201,49.41
202,125.7081
203,84.728
204,128.9491
205,84.6641
206,108.81
207,59.61
208,119.86
209,84.08
210,74.77
211,43.008
212,59.9973
213,44.99
214,97.994
215,59.9789
216,118.198
217,59.76
218,84.6641
219,84.6641
220,84.99
221,74.98
222,84.9941
223,59.9474
224,59.9383
225,84.18
226,101.45
227,84.9893
228,43.008
229,99.986
230,84.8568
231,84.73
232,30.7568
233,84.62
234,84.08
235,114.24
236,84.99
237,49.277
238,59.8652
239,102.63
240,84.11
241,59.9964
242,43.008
243,84.969
244,84.9837
245,17.834
246,84.94
247,47.01
248,84.7067
249,126.6976
250,104.9044
251,144.2557
252,84.8058
253,59.76
254,84.6641
255,84.91
256,84.7
257,84.89
258,84.8768
259,35.193000000000005
260,95.804
261,99.9834
262,17.425
263,49.41
264,28.168000000000003
265,28.168000000000003
266,104.9044
267,59.998999999999995
268,96.31
269,84.7
270,114.19
271,79.5988
272,96.25200000000001
273,84.9539
274,39.3
275,39.97
276,84.976
277,59.61
278,59.9964
279,59.9058
280,74.77
281,43.008
282,43.008
283,43.008
284,19.62
285,59.97
286,59.28
287,99.6514
288,84.3869
289,144.2557
290,74.98
291,84.95
292,59.9383
293,84.9424
294,59.9474
295,84.663
296,102.63
297,59.89
298,59.1
299,21.59
300,84.85700000000001
301,84.85700000000001
302,19.3525
303,39.97
304,125.7081
305,84.9911
306,84.9989
307,58.35
308,84.93
309,108.3993
310,59.9383
311,114.16
312,84.11
313,84.18
314,114.14
315,84.986
316,49.277
317,83.256
318,83.256
319,84.7067
320,84.84
321,128.9491
322,59.998999999999995
323,106.635
324,49.41
325,50.21
326,45.57
327,28.168000000000003
328,28.168000000000003
329,84.93
330,59.998999999999995
331,84.11
332,114.84
333,59.97
334,99.9834
335,84.99
336,39.3
337,84.98
338,84.815
339,84.87
340,59.9159
341,43.008
342,28.451999999999998
343,29.8957
344,17.805
345,84.9727
346,84.73
347,46.68
348,84.6641
349,59.998999999999995
350,84.994
351,59.9907
352,43.008
353,84.9779
354,84.9238
355,84.9539
356,59.99
357,59.99
358,49.29
359,84.9228
360,84.976
361,84.728
362,84.8058
363,59.76
364,84.6641
365,114.84
366,74.77
367,43.008
368,20.5238
369,84.9727
370,130.2173
371,128.9491
372,84.9941
373,108.81
374,84.9893
375,84.96
376,84.7
377,101.45
378,74.77
379,84.8809
380,26.984
381,59.82
382,49.277
383,39.97
384,84.976
385,84.6641
386,59.998999999999995
387,106.76
388,84.8788
389,74.77
390,84.8809
391,59.965
392,98.227
393,84.9837
394,19.3525
395,84.99
396,46.68
397,39.97
398,59.99
399,84.976
400,105.5594
401,96.31
402,114.16
403,59.4
404,39.3
405,84.9228
406,84.994
407,84.9365
408,59.9383
409,84.87
410,84.7
411,84.8768
412,84.757
413,49.29
414,59.998999999999995
415,84.9941
416,84.9365
417,84.9365
418,59.9383
419,84.9424
420,84.9757
421,43.008
422,84.9375
423,59.9789
424,84.9228
425,84.8058
426,114.16
427,84.11
428,28.451999999999998
429,84.85700000000001
430,19.62
431,59.98
432,84.757
433,84.89299999999999
434,84.73
435,59.61
436,39.97
437,59.99
438,84.976
439,74.94
440,106.76
441,59.9383
442,84.87
443,84.18
444,114.19
445,84.11
446,59.9917
447,19.62
448,84.9837
449,59.99
450,104.9044
451,59.76
452,84.6641
453,108.3993
454,43.008
455,59.9973
456,84.945
457,99.985
458,84.941
459,23.455
460,79.626
461,50.21
462,58.35
463,84.7067
464,121.6838
465,84.6641
466,59.9383
467,120.861
468,84.7
469,84.08
470,114.14
471,43.008
472,84.85700000000001
473,28.168000000000003
474,59.99
475,84.9228
476,118.198
477,84.9228
478,84.08
479,59.9907
480,74.77
481,26.6
482,30.7568
483,23.4624
484,39.97
485,130.2173
486,61.9
487,84.9941
488,96.31
489,43.008
490,84.9727
491,84.84
492,84.8058
493,59.998999999999995
494,59.998999999999995
495,108.3993
496,84.08
497,84.60600000000001
498,43.008
499,33.29
500,33.29
501,34.9911
502,84.955
503,98.04700000000001
504,26.984
505,84.941
506,74.5191
507,28.168000000000003
508,84.976
509,154.5474
510,84.9941
511,84.7
512,84.11
513,59.9964
514,72.497
515,21.365
516,84.96
517,19.1676
518,19.1676
519,95.804
520,99.986
521,74.51899999999999
522,21.2595
523,84.99
524,39.69
525,59.99
526,84.815
527,84.814
528,84.96
529,59.83
530,114.16
531,84.7
532,84.62
533,73.9816
534,73.9816
535,84.89
536,84.89
537,84.8768
538,84.9539
539,84.73
540,49.277
541,59.858000000000004
542,84.96
543,84.87
544,84.11
545,84.18
546,59.1
547,84.9491
548,43.008
549,21.59
550,84.85700000000001
551,84.73
552,59.76
553,84.97399999999999
554,119.59
555,101.95
556,84.7
557,59.98
558,97.994
559,101.9478
560,79.626
561,59.94
562,78.24
563,84.6641
564,84.96
565,84.87
566,59.61
567,84.7
568,59.9159
569,84.8809
570,43.008
571,30.5357
572,99.986
573,96.1416
574,71.484
575,84.73
576,17.834
577,49.277
578,49.277
579,84.3869
580,84.976
581,84.9893
582,84.986
583,35.9862
584,84.96
585,84.96
586,45.98
587,84.815
588,84.8568
589,84.73
590,59.858000000000004
591,39.97
592,99.6514
593,114.16
594,84.62
595,43.008
596,35.193000000000005
597,95.804
598,59.82
599,84.9837
600,83.256
601,39.97
602,101.6828
603,84.84
604,84.8058
605,59.76
606,120.6371
607,84.9365
608,59.9159
609,74.77
610,59.97
611,111.99600000000001
612,111.99600000000001
613,84.946
614,84.99
615,59.858000000000004
616,47.01
617,84.3869
618,84.99
619,84.9941
620,119.98
621,84.11
622,84.08
623,101.95
624,84.89299999999999
625,84.8568
626,59.76
627,39.3
628,118.198
629,104.9044
630,59.9383
631,114.61
632,59.655
633,59.965
634,24.12
635,101.9478
636,49.277
637,79.626
638,84.9228
639,105.5594
640,84.9941
641,84.9365
642,84.696
643,101.46
644,59.9159
645,59.8676
646,84.9539
647,74.5191
648,28.168000000000003
649,84.84
650,84.9228
651,84.976
652,59.76
653,59.998999999999995
654,84.9424
655,59.83
656,84.87
657,43.008
658,59.8676
659,84.73
660,49.29
661,84.976
662,59.76
663,104.9044
664,84.9941
665,84.11
666,59.1
667,24.12
668,59.99
669,59.8652
670,84.945
671,84.928
672,49.77
673,84.73
674,39.97
675,59.99
676,84.99
677,84.994
678,84.973
679,84.87
680,43.008
681,59.98
682,99.986
683,59.86
684,59.86
685,84.9238
686,59.9789
687,59.82
688,84.99
689,31.758000000000003
690,39.69
691,28.168000000000003
692,28.168000000000003
693,28.168000000000003
694,28.168000000000003
695,125.542
696,84.84
697,144.2557
698,59.76
699,84.8375
700,59.998999999999995
701,84.994
702,84.9941
703,84.91
704,84.96
705,84.7
706,114.16
707,59.1
708,84.986
709,84.9989
710,84.9899
711,84.87
712,99.9434
713,43.008
714,22.686
715,25.045
716,21.27
717,109.9692
718,18.0325
719,84.73
720,59.88
721,99.6514
722,74.98
723,84.9424
724,84.87
725,59.8652
726,84.9539
727,39.97
728,84.976
729,118.198
730,59.76
731,101.9478
732,18.0325
733,84.73
734,84.9228
735,84.976
736,130.2173
737,59.76
738,101.31
739,84.62
740,59.9159
741,43.008
742,16.6229
743,84.73
744,84.99
745,152.785
746,144.2557
747,84.99
748,134.45
749,107.698
750,84.60600000000001
751,99.985
752,59.98
753,84.9727
754,59.99
755,59.99
756,126.6976
757,118.198
758,84.6641
759,101.54
760,59.9159
761,84.8668
762,74.77
763,84.89
764,43.008
765,84.96
766,45.57
767,25.828000000000003
768,28.168000000000003
769,84.7067
770,130.2173
771,84.6641
772,84.6641
773,84.991
774,119.78
775,84.87
776,114.16
777,114.84
778,84.9375
779,118.83
780,83.256
781,39.3
782,84.728
783,84.696
784,84.9539
785,84.99
786,49.277
787,59.858000000000004
788,84.99
789,84.8788
790,84.8568
791,83.256
792,59.71
793,104.9044
794,84.976
795,59.9474
796,102.78
797,59.1
798,59.8676
799,43.008
800,84.96
801,49.77
802,84.9837
803,50.21
804,28.168000000000003
805,28.168000000000003
806,58.35
807,59.76
808,84.9228
809,114.03
810,59.8652
811,84.9375
812,59.76
813,84.8058
814,84.6641
815,59.9853
816,74.77
817,19.1676
818,99.9576
819,125.7081
820,131.5834
821,84.6641
822,59.9383
823,84.89
824,59.97
825,99.986
826,84.941
827,97.994
828,84.9238
829,84.73
830,79.626
831,84.99
832,84.9424
833,119.86
834,84.81
835,84.87
836,84.87
837,84.18
838,59.9159
839,59.98
840,84.9989
841,84.9989
842,84.7067
843,84.99
844,96.31
845,84.11
846,59.1
847,74.77
848,43.008
849,59.98
850,41.328
851,59.94
852,28.168000000000003
853,28.168000000000003
854,84.9228
855,118.198
856,84.815
857,84.87
858,84.87
859,84.8768
860,84.946
861,96.25200000000001
862,84.9899
